UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW,XEFGNDRU,EFGNDRUN,XEFGNDRA,EFGNDRAN,XEFGNDRU,EFGNDRUA,XEFGNDRK,EFGNDRKN
459994,52,25,2,3,R,2231,R,958,R,1273,R,8,R,3,R,5,R,206,R,137,R,69,R,838,R,238,R,600,R,185,R,88,R,97,R,8,R,3,R,5,R,821,R,407,R,414,R,96,R,36,R,60,R,67,R,45,R,22,R,2,R,1,R,1,A,,A,,A,,A,
459994,59,16,2,1,R,1624,R,481,R,1143,R,12,R,2,R,10,R,20,R,10,R,10,R,526,R,146,R,380,R,192,R,62,R,130,R,12,R,3,R,9,R,756,R,228,R,528,R,82,R,20,R,62,R,24,R,10,R,14,Z,0,Z,0,Z,0,A,,A,,A,,A,
459994,60,17,2,1,R,5797,R,1750,R,4047,R,55,R,15,R,40,R,67,R,30,R,37,R,1758,R,419,R,1339,R,787,R,313,R,474,R,20,R,2,R,18,R,2751,R,862,R,1889,R,258,R,65,R,193,R,100,R,43,R,57,R,1,R,1,Z,0,A,,A,,A,,A,
460011, 1,29,3,4,R,182,R,0,R,182,R,0,R,0,R,0,R,0,R,0,R,0,R,98,R,0,R,98,R,3,R,0,R,3,R,0,R,0,R,0,R,81,R,0,R,81,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,Z,0,A,,Z,0,R,182
460011, 2,99,3,1,R,182,R,0,R,182,R,0,R,0,R,0,R,0,R,0,R,0,R,98,R,0,R,98,R,3,R,0,R,3,R,0,R,0,R,0,R,81,R,0,R,81,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,R,0,R,182
460011, 3,99,3,1,R,182,R,0,R,182,R,0,R,0,R,0,R,0,R,0,R,0,R,98,R,0,R,98,R,3,R,0,R,3,R,0,R,0,R,0,R,81,R,0,R,81,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,
460011, 4,99,3,1,R,10,R,0,R,10,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,0,R,3,R,0,R,0,R,0,R,0,R,0,R,0,R,7,R,0,R,7,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,
460011, 5,99,3,1,R,172,R,0,R,172,R,0,R,0,R,0,R,0,R,0,R,0,R,95,R,0,R,95,R,3,R,0,R,3,R,0,R,0,R,0,R,74,R,0,R,74,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,
460011,20,99,3,1,R,172,R,0,R,172,R,0,R,0,R,0,R,0,R,0,R,0,R,95,R,0,R,95,R,3,R,0,R,3,R,0,R,0,R,0,R,74,R,0,R,74,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,
460011,21,14,1,4,R,127,R,0,R,127,R,0,R,0,R,0,R,0,R,0,R,0,R,62,R,0,R,62,R,2,R,0,R,2,R,0,R,0,R,0,R,63,R,0,R,63,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,
