UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
174914, 2,"R",6056,"R",23,"R",2331,"R",3702,"R",20,"R",3,"R",0,"R",0,"R",0
174914, 3,"R",6030,"R",20,"R",2327,"R",3683,"R",17,"R",3,"R",0,"R",0,"R",0
174914,11,"R",26,"R",3,"R",4,"R",19,"R",3,"R",0,"R",0,"R",0,"R",0
174914,12,"R",3280,"R",1112,"R",680,"R",1488,"R",918,"R",149,"R",0,"R",45,"R",0
174978, 1,"R",144,"A",,"A",,"R",144,"A",,"A",,"A",,"A",,"A",
174978, 2,"R",144,"A",,"A",,"R",144,"A",,"A",,"A",,"A",,"A",
174978, 3,"C",144,"A",,"A",,"C",144,"A",,"A",,"A",,"A",,"A",
175005, 1,"R",3904,"R",880,"R",1150,"R",1874,"R",436,"R",441,"R",2,"R",1,"R",0
175005, 2,"R",2585,"R",588,"R",852,"R",1145,"R",230,"R",357,"R",1,"R",0,"R",0
175005, 3,"R",2546,"R",587,"R",836,"R",1123,"R",229,"R",357,"R",1,"R",0,"R",0
175005,11,"R",39,"R",1,"R",16,"R",22,"R",1,"Z",0,"Z",0,"Z",0,"R",0
175005,12,"R",1319,"R",292,"R",298,"R",729,"R",206,"R",84,"R",1,"R",1,"R",0
175014, 1,"R",3914,"R",1722,"R",1707,"R",485,"R",1458,"R",264,"R",0,"R",0,"R",0
175014, 2,"R",3658,"R",1466,"R",1707,"R",485,"R",1309,"R",157,"R",0,"R",0,"R",0
175014, 3,"R",3553,"R",1361,"R",1707,"R",485,"R",1301,"R",60,"R",0,"R",0,"R",0
175014,11,"R",105,"R",105,"R",0,"R",0,"R",8,"R",97,"R",0,"R",0,"R",0
175014,12,"R",256,"R",256,"R",0,"R",0,"R",149,"R",107,"R",0,"R",0,"R",0
175041, 1,"R",5083,"R",1736,"R",1500,"R",1847,"R",1685,"R",47,"R",0,"R",0,"R",4
175041, 2,"R",5083,"R",1736,"R",1500,"R",1847,"R",1685,"R",47,"R",0,"R",0,"R",4
175041, 3,"R",3895,"R",1357,"R",1343,"R",1195,"R",1318,"R",36,"R",0,"R",0,"R",3
175041,11,"R",1188,"R",379,"R",157,"R",652,"R",367,"R",11,"R",0,"R",0,"R",1
175078, 1,"R",6986,"R",668,"R",975,"R",5343,"R",596,"R",71,"R",0,"R",0,"R",1
175078, 2,"R",6556,"R",521,"R",923,"R",5112,"R",480,"R",40,"R",0,"R",0,"R",1
175078, 3,"R",1982,"R",497,"R",897,"R",588,"R",458,"R",38,"R",0,"R",0,"R",1
175078,11,"R",4574,"R",24,"R",26,"R",4524,"R",22,"R",2,"R",0,"R",0,"R",0
175078,12,"R",430,"R",147,"R",52,"R",231,"R",116,"R",31,"R",0,"R",0,"R",0
175120, 1,"R",409,"A",,"A",,"R",409,"A",,"A",,"A",,"A",,"A",
175120, 2,"R",409,"A",,"A",,"R",409,"A",,"A",,"A",,"A",,"A",
175120, 3,"C",409,"A",,"A",,"C",409,"A",,"A",,"A",,"A",,"A",
175139, 1,"R",197,"R",0,"R",197,"R",0,"A",,"A",,"A",,"A",,"A",
